1354,2471,2,974775987
4386,2414,3,965229266
4085,3354,3,970539647
338,708,4,976346262
5223,2718,3,961529566
888,733,5,975256658
3128,1834,5,969325810
5990,319,3,956867294
3140,2091,5,969037653
2567,2403,2,973958936
402,2926,1,976296149
2503,3387,3,974086077
3190,1198,4,968649928
3226,3730,5,968435547
4139,2598,3,965350797
379,1393,5,976302359
3751,1569,4,966131192
5268,2468,2,961168284
2564,1919,3,973969915
3650,1594,4,966457997
731,2628,3,975507877
53,1476,4,977985703
5714,2858,5,959224230
2338,2000,4,974429590
2297,541,5,974502793
4475,1779,4,965062393
5657,1617,5,958827738
5015,3500,2,962594983
3751,2340,2,999911393
2986,2704,3,970810837
4304,1584,5,965264316
5709,2990,3,961730053
792,1274,4,975423700
5496,2599,4,959809717
5841,2054,4,962882760
5306,110,3,961015861
4869,2943,2,962816679
3600,454,4,966624486
5792,2470,3,1001012574
3992,2245,4,965591097
5083,2718,4,962405737
789,3016,3,975429098
5188,3673,4,961718925
4540,2301,5,965944439
824,3022,5,975380405
727,317,4,975518610
1976,3946,3,974686670
3864,898,5,965854372
5954,3489,3,957651481
5569,2599,3,959307042
6003,1586,2,956979758
1221,1517,3,974842566
2088,2085,3,974661079
4401,1222,2,965160031
4022,1690,2,965521104
3238,1302,5,968355473
451,1949,5,976415427
3561,2701,2,966797043
3709,1663,4,966276660
442,1537,5,976241352
3965,2599,2,965668231
1356,2143,5,974785558
5521,1704,4,959649271
1758,45,4,974787085
5209,3068,5,961606530
3900,1196,4,965874390
5848,2896,4,957781590
4680,1729,5,963683122
3378,2747,3,967756546
1074,480,4,974939371
331,3201,5,976849600
4742,1261,3,963330928
931,2186,5,975190013
1946,3019,5,1042934874
2230,508,5,974598064
2409,1214,4,974252502
735,1297,5,976854025
5888,1230,5,957479103
1812,3358,4,974849649
303,745,4,977087037
5620,3697,3,959113447
1647,917,4,1024131616
5989,258,2,956874389
2685,2852,4,973376168
1323,1959,4,974777558
3683,999,3,966523374
2748,164,5,973208915
5630,3483,3,959020544
778,1382,3,975437090
2342,3932,3,974416660
1516,2058,3,976295958
5733,3415,5,958431185
3834,169,1,966406373
3529,1590,2,966899216
411,3746,4,987172303
2903,1200,3,971855235
943,1271,4,975170141
759,945,4,975451748
3643,1586,3,966634790
4647,2490,5,963970174
4129,912,5,965353576
5328,1213,1,960838832
4810,1409,3,962933046
1099,2723,4,974926530
4544,3334,5,964661922
4887,1485,4,962740729
4354,3039,3,965192359
117,589,5,977498304
4508,3074,3,965012654
3221,1240,5,968444187
509,3360,4,976207902
3483,3697,3,986328088
2224,2761,4,974598792
4088,988,3,965431063
93,3054,1,977631048
3698,2605,1,966976739
482,585,3,976222557
5172,3638,2,1044152120
2889,2142,2,972059017
2258,260,5,974590135
5072,2918,5,962450411
4570,3416,2,964468765
3624,1196,4,966562479
2438,357,3,974227106
1757,596,5,974705346
6010,235,2,956856247
3029,4,3,970361778
2764,2085,4,973138128
5812,590,5,957943980
839,1918,1,975360252
4187,1927,4,965326530
2605,1208,5,973748045
4303,1668,3,965267199
5452,1676,1,959931670
5880,3688,2,959086893
2778,1235,5,973988429
1679,3262,3,974708508
5422,1380,3,960255155
911,1282,3,975273723
342,1584,5,976338984
3012,1200,5,970597983
1451,3508,4,987048353
2012,1527,3,974678513
3842,866,4,965990714
3864,2664,5,965854673
1420,1126,2,975346600
1301,2403,2,974786914
1698,673,3,974771358
5433,1306,1,960048145
3769,2571,2,966056598
2187,2006,3,974608903
1606,3044,3,974741660
3159,2390,4,968880393
3900,3526,5,965875412
5614,24,5,964397295
3205,296,5,968566033
4786,1909,4,963001814
3762,1221,5,966435820
1340,2881,1,975130461
4040,648,2,965504736
1179,1527,4,974867762
5886,2301,2,957488190
4169,93,3,978663471
1180,903,5,974856017
1079,648,2,974938792
3754,1270,5,966119170
4053,2047,3,965497248
5040,1882,4,962512755
1736,3448,4,974704432
5536,2269,3,959816409
2484,986,2,974149709
5376,3846,3,966307445
861,1288,5,975341751
1842,2268,4,996424095
5880,2083,3,957670599
2261,3623,2,974585037
3961,316,3,967225981
4472,1263,2,965066780
5954,1845,5,957653089
5359,3173,5,975734789
4917,1391,4,962675309
4161,3763,4,965337340
1983,3929,5,974736870
5057,1198,3,962484571
3471,1265,4,973140357
4186,2699,2,965327714
1266,577,3,978747006
3410,1035,4,967428750
3976,534,4,965651774
3659,3246,5,966445065
2597,357,4,973801046
4611,3361,4,965679281
5831,2002,4,957889903
4261,2571,3,965305920
3300,924,3,968120607
2668,1994,4,973444325
4048,2531,3,965499169
1514,1197,5,974747985
2050,2890,5,975524517
202,252,2,976935227
4802,1912,4,978406158
1543,3798,3,974749565
1739,3189,3,974704168
5739,2571,4,958414153
5172,1385,3,1044153486
2938,3614,3,971448565
748,1909,4,975462204
3391,3478,4,1042568536
5137,1753,5,962070245
5153,3764,2,961967736
1722,1334,4,974705879
4539,1187,1,964686827
3145,2193,2,968973009
2716,2467,5,973286865
2857,1350,3,972505155
5701,2091,3,958587963
303,2908,5,976505982
1291,318,4,974789364
3988,3844,5,965709542
5111,3111,5,962332491
5377,3480,4,960403774
4213,1214,5,965841619
5788,2145,4,958109403
724,1792,3,975524259
4169,3238,1,991266988
5759,920,4,958255903
3518,3299,1,966957695
175,2966,3,977110512
4754,2378,4,963185268
2844,3326,2,972531186
5047,1188,5,962497356
5798,165,2,959194276
4054,3686,3,965509751
533,542,1,976220794
2593,945,5,973826092
1698,2341,3,975877902
4675,3299,4,963736405
2810,3117,3,997247831
5321,2692,3,960863158
2484,3086,2,974149459
3909,2700,5,965756224
1411,3203,2,974761718
5026,2077,4,962775643
1267,2527,4,974817895
2761,2405,3,973148103
5939,3252,4,957213955
2047,3910,5,988139781
3272,2454,4,968200507
4041,1876,3,965503127
778,733,5,975436471
3683,3788,4,966354922
1701,745,5,974708242
5550,3135,5,959622931
5654,2761,4,958845815
460,3039,5,976229411
1804,3098,5,976164389
5881,500,5,957544490
3135,1476,3,969068248
5848,955,3,957782655
5352,2899,3,960650655
3641,2134,3,966488349
1778,208,3,974781082
4482,2104,3,965016854
1879,3552,5,974696923
1930,1036,4,994016290
934,587,3,975184332
528,360,2,980041291
5350,1376,2,960660551
2698,290,5,973306444
3033,1196,5,970290992
4322,3686,4,965387601
1068,1552,5,975014164
5813,493,4,957917339
4371,207,4,965181103
2177,1947,5,974611832
2878,368,4,972361081
24,2628,3,978135358
4494,2361,5,965010976
5811,2628,3,957946028
5516,2278,2,959708083
2649,597,2,973632382
1605,662,3,975381201
2837,3108,5,972573225
5250,1801,2,961357875
4506,2064,5,964982924
1034,920,5,974995495
2793,474,4,990021604
1288,3260,5,974794007
3723,2858,5,967146412
1303,1952,4,974959804
1793,176,4,974702239
955,2120,3,975211123
1447,1206,3,981020416
2957,2599,2,971197435
3985,1610,4,965624126
2750,2804,4,973199252
4618,3070,3,964126857
2092,527,4,974653184
3888,3090,4,973391724
4048,969,5,965496738
4658,1750,1,963966553
